Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Harris	Hampton Scott		C	AL02	2024	4/18/2024	10057690
	Harris	Mark E.		C	NC08	2024	5/14/2024	10060109
	Harris	Shawn		C	GA14	2024	5/15/2024	10061601
	Hartmann	Ray		X	MO02	2024	5/15/2024	8220363
	Hartmann	Ray		X	MO02	2024	6/18/2024	30022327
	Hawkins	Nathaniel Alan		C	OH08	2024	5/7/2024	10060005
Dr.	Hayes	James		C	PA12	2024	4/22/2024	10058794
	Hayes	Philip Andrew		D	OK04	2024	5/15/2024	40003651
Mr.	Healy	Philip Mark		C	SC03	2024	5/10/2024	10060570
	Heath	Jeremy L.		C	IN08	2024	4/19/2024	10057589
Mr.	Heimlich	Phil		C	OH02	2024	4/26/2024	10056982
	Heinzer	Clifford		C	VA07	2024	5/20/2024	10061913
	Helgelien	Elizabeth Nicole		C	NV03	2024	5/15/2024	10061217
	Helmer	Daniel		C	VA10	2024	5/15/2024	10059964
	Hemenway	James Vincent		W	CO07	2024	4/23/2024	7942
	Henley	Anne		D	TX12	2024	2/20/2024	8220167
	Hensel	Bentley Foster		A	VA08	2024	5/16/2024	10061875
	Hensel	Bentley Foster		C	VA08	2024	5/15/2024	10060073
	Herman	Thomas		C	CA33	2024	5/11/2024	10060606
	Hermanson	Devin		C	WA02	2024	5/14/2024	10061221
Hon.	Hern	Kevin		P	OK01	2024	1/13/2024	20024305
Hon.	Hern	Kevin		P	OK01	2024	2/11/2024	20024481
Hon.	Hern	Kevin		P	OK01	2024	3/12/2024	20024669
Hon.	Hern	Kevin		P	OK01	2024	4/12/2024	20024869
Hon.	Hern	Kevin		P	OK01	2024	5/12/2024	20025040
Hon.	Hern	Kevin		P	OK01	2024	6/7/2024	20025232
	Hernandez	Frank		W	CO03	2024	3/4/2024	7922
	Hernandez Rivera	Pablo Jose		X	PR00	2024	5/17/2024	30022151
Hon.	Herrell	Stella Yvette		C	NM02	2024	5/15/2024	10060778
	Hertel	Curtis	Jr.	X	MI07	2024	5/15/2024	8220364
Mr.	Hewett	Don		C	WA10	2024	5/15/2024	10061602
	Hewitt	Patti		C	GA01	2024	3/4/2024	10056847
	Hicks	Justin		C	MO03	2024	5/13/2024	10059270
Hon.	Higgins	Brian		T	NY26	2024	4/5/2024	10056951
Hon.	Hill	James French		P	AR02	2024	1/10/2024	20024215
	Holder	Derrick Ross		D	IN04	2024	2/8/2024	8220158
	Holmes	Thomas Bethune		C	AL01	2024	5/26/2024	10061979
	Holmes	Thomas Bethune		D	AL01	2024	2/5/2024	40003600
	Hood	Ron		C	OH02	2024	2/8/2024	10056667
	Hood	Ron		X	OH02	2024	1/29/2024	30019580
	Hood	Ron		X	OH02	2024	2/12/2024	30019589
Dr.	Hook	Kristin A.		C	TX21	2024	5/15/2024	10061526
	Horne	Andrew		C	AZ01	2024	7/1/2024	10060675
	Horne	Andrew		X	AZ01	2024	5/14/2024	30021539
	Houck	Mark Justin	Sr.	C	PA01	2024	5/15/2024	10061831
	Houlahan	Stephen William		A	CA48	2024	4/19/2024	10058837
	Houlahan	Stephen William		C	CA48	2024	4/19/2024	10057731
	Hubbard	Chuck		C	NC05	2024	5/3/2024	10059673
	Hudson	Paul		C	MI03	2024	5/12/2024	10060642
	Hughes	Charles M.		C	IL06	2024	3/12/2024	10056891
Mr.	Hurd	Jeffrey S		C	CO03	2024	5/13/2024	10060700
Mr.	Hurt	Erik David		C	IN08	2024	2/19/2024	10056758
	Hurtado	Melissa		W	CA22	2024	5/14/2024	7969
	Hutchison	Evan Hale		C	NY10	2024	5/12/2024	10057005
	Hwang	Tom		C	OH02	2024	3/18/2024	10056912
Ms.	Iroha	Celeste Chizoba		C	MD04	2024	4/18/2024	10057750
Mr.	Isaac	Alexander Hormis	Jr.	C	VA10	2024	5/14/2024	10060580
	Ivanovskis	Jeremy Daniel		D	TX03	2024	4/18/2024	40003623
Hon.	Jackson	Jonathan		P	IL01	2024	1/12/2024	20024253
Hon.	Jackson	Jonathan		P	IL01	2024	2/15/2024	20024450
Hon.	Jackson	Jonathan		P	IL01	2024	3/19/2024	20024606
Hon.	Jackson	Jonathan		P	IL01	2024	4/24/2024	20024811
Hon.	Jackson	Jonathan		P	IL01	2024	5/7/2024	20025000
	Jacque	Andre		C	WI08	2024	5/14/2024	10061135
Ms.	Jahn	Lucinda Kwh		D	CA48	2024	5/15/2024	40003645
	Jasser	M. Zuhdi		C	AZ04	2024	6/28/2024	10060417
	Jasser	M. Zuhdi		X	AZ04	2024	5/14/2024	30021424
	Jayapal	Susheela		C	OR03	2024	5/23/2024	10061973
	Jenkins	Colby C.		C	UT02	2024	5/15/2024	10061440
	Jenkins	David		W		2024		8220159
	Johnson	Arthur Wayne		X	GA02	2024	2/23/2024	8220163
Hon.	Johnson	Bill		T	OH06	2024	4/16/2024	10056805
Hon.	Johnson	Bill		X	OH06	2024	2/20/2024	30019614
	Johnson	Julie		X	TX32	2024	5/8/2024	30021107
	Johnson	Sheryl		C	SD00	2024	5/6/2024	10059824
	Johnston	Courtney		C	TN05	2024	6/4/2024	10062049
	Jones	Gian A.		C	NY04	2024	4/19/2024	10057764
	Jones	Marcus		C	AR02	2024	5/14/2024	10059433
Hon.	Jones	Mondaire		C	NY17	2024	5/15/2024	10061463
	Jones	Stewart		C	SC03	2024	2/26/2024	10056825
	Joshi	Janak		A	CO08	2024	5/26/2024	10061969
	Joshi	Janak		C	CO08	2024	5/15/2024	10061172
	Joshi	Janak		X	CO08	2024	5/17/2024	30021762
	Joss	Eric E.		C	CO08	2024	6/6/2024	10062136
	Jude	Tad		C	MN03	2024	2/16/2024	8220164
Mr.	Judge	James Mr	Jr.	C	FL15	2024	5/1/2024	10059382
	Junge	Paul		X	MI08	2024	5/14/2024	30021381
	Kahrs	Jeff		C	KS02	2024	5/18/2024	10061914
	Kalata	Ryan Michael		D	NY01	2024	5/14/2024	40003643
	Kalata	Ryan Michael		X	NY01	2024	5/14/2024	30021433
	Kale	Andrea Doria		C	FL17	2024	5/1/2024	10059514
	Kane	Caroline		C	TX07	2024	5/10/2024	10060549
	Kangas	Jolian		W		2024		8220417
	Kaplan	Anna		W	NY03	2024	4/22/2024	7937
	Kasama	Heidi		X	NV03	2024	5/17/2024	30022157
	Kaufman	Joe		X	FL23	2024	5/15/2024	8220373
	Kaul	Krystle Veda		X	VA10	2024	5/1/2024	8220241
	Kavanaugh	Dominick		C	IN08	2024	4/8/2024	10056945
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	1/26/2024	20024309
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	2/20/2024	20024509
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	3/18/2024	20024685
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	5/30/2024	20025059
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	6/18/2024	20025291
Hon.	Keating	William R.		P	MA09	2024	1/16/2024	20023767
Hon.	Keating	William R.		P	MA09	2024	2/5/2024	20024445
Hon.	Keating	William R.		P	MA09	2024	3/12/2024	20024668
Hon.	Keating	William R.		P	MA09	2024	5/2/2024	20024852
Hon.	Keating	William R.		P	MA09	2024	5/22/2024	20025119
Hon.	Keating	William R.		P	MA09	2024	6/21/2024	20025226
	Keller	Maura		C	GA03	2024	4/21/2024	10056913
	Kelly	Durand Todd		A	KY06	2024	2/7/2024	10056743
	Kelly	Durand Todd		C	KY06	2024	2/6/2024	10056632
Hon.	Kelly	Mike		P	PA16	2024	1/12/2024	20024300
Hon.	Kelly	Mike		P	PA16	2024	2/13/2024	20024494
Hon.	Kelly	Mike		P	PA16	2024	3/11/2024	20024654
Hon.	Kelly	Mike		P	PA16	2024	6/14/2024	20025280
Hon.	Kelly	Mike		P	PA16	2024	7/3/2024	20025281
	Kemp	Patricia		X	FL15	2024	5/17/2024	30021744
	Kennedy	David R.		C	VA08	2024	6/11/2024	10061919
	Kennedy	John Perkins		W	TN06	2024	5/14/2024	7970
	Kennedy	Mike		C	UT03	2024	3/29/2024	10056941
Ms.	Kennedy	Sandra Denise		C	FL08	2024	5/15/2024	10061792
Hon.	Kennedy	Timothy		H	NY26	2024	6/3/2024	10062077
	Kent	Joseph		C	WA03	2024	5/14/2024	10060803
Mr.	Kenworthy	Jon Michael		W	IN03	2024	5/14/2024	7968
	Kerr	Joseph		X	CA40	2024	5/14/2024	30021627
	Khan	Gulrez		W	TX32	2024	4/23/2024	7943
Hon.	Khanna	Rohit		P	CA17	2024	2/5/2024	8220127
Hon.	Khanna	Rohit		P	CA17	2024	3/6/2024	8220173
Hon.	Khanna	Rohit		P	CA17	2024	4/5/2024	8220192
Hon.	Khanna	Rohit		P	CA17	2024	5/6/2024	8220252
Hon.	Khanna	Rohit		P	CA17	2024	6/5/2024	8220451
	Kidd	Larry		C	OH02	2024	2/2/2024	10056489
	Kidd	Robert Gregory		X	NV02	2024	4/30/2024	30020916
	Kilbourn	Kyle		C	WI07	2024	4/20/2024	10058861
	Kim	David		C	CA34	2024	5/15/2024	10061389
	King	Bob		C	TX21	2024	5/5/2024	10059806
	Kirkland	Kyle R.		A	CA20	2024	2/4/2024	10056710
	Kirkland	Kyle R.		C	CA20	2024	2/4/2024	10056706
	Kirkland	Kyle R.		X	CA20	2024	2/7/2024	8220129
	Klee Hood	Sarah		X	NY22	2024	4/23/2024	30019835
Mr.	Knight	David		C	CA43	2024	2/2/2024	10056699
	Knott	Brad		X	NC13	2024	5/14/2024	30021467
	Kraft	Ryan Olivier Christian		C	OR00	2024	4/24/2024	10058986
	Kramer	Anna Cheng		C	CA15	2024	5/11/2024	8220318
	Krautter	Joel		C	MT02	2024	5/15/2024	10061006
	Krebaum	William B.		D	MI06	2024	6/7/2024	40003665
	Kregler	William		C	NY07	2024	5/14/2024	10060388
	Kregler	William		X	NY07	2024	5/14/2024	30021481
	Kreiselmaier	Elizabeth		D	WA06	2024	4/9/2024	8220208
	Kreiselmaier	Elizabeth		W		2024		8220211
	Kripchak	Michael L.		D	OH06	2024	2/21/2024	40003605
	Kruttiventi	Vin		C	CA14	2024	5/5/2024	10058942
	Kucinich	Dennis		A	OH07	2024	6/4/2024	10062091
	Kucinich	Dennis		C	OH07	2024	5/15/2024	10061834
	Kulikoff	Kelly		C	CA20	2024	1/22/2024	10056642
Hon.	Lamborn	Doug		P	CO05	2024	3/13/2024	8220177
Hon.	Lamborn	Doug		P	CO05	2024	4/12/2024	8220205
Hon.	Lamborn	Doug		P	CO05	2024	5/15/2024	8220312
Hon.	Lamborn	Doug		P	CO05	2024	6/3/2024	8220431
Mr.	Lancaster	Jarrad Ray		D	IN03	2024	4/5/2024	8220209
Mr.	Lancaster	Jarrad Ray		D	IN03	2024	4/8/2024	40003619
	Lankenau	Steve		W	OH09	2024	5/13/2024	7961
	Lapides	Bennett		D	TN01	2024	5/16/2024	40003655
Mr.	LARSEN	FLEMMING  STEEN		C	NV01	2024	5/15/2024	10059440
Hon.	Larsen	Rick		P	WA02	2024	1/19/2024	20024339
Hon.	Larsen	Rick		P	WA02	2024	4/10/2024	20024842
	Laster	Justin		C	GA08	2024	5/21/2024	10061941
	Latimer	George		C	NY16	2024	6/6/2024	8220476
Hon.	Latta	Robert E.		P	OH05	2024	2/14/2024	20024505
Hon.	Latta	Robert E.		P	OH05	2024	4/20/2024	20024901
Hon.	Latta	Robert E.		P	OH05	2024	6/9/2024	20025238
	Lawrence	Case McKay		C	UT03	2024	6/20/2024	10062317
	Lee	John		C	NV04	2024	5/15/2024	10059348
Hon.	Lee	Laurel Mrs		P	FL15	2024	1/4/2024	20024249
Hon.	Lee	Laurel Mrs		P	FL15	2024	5/25/2024	20025116
Hon.	Lee	Susie		P	NV03	2024	5/24/2024	20025096
	Leigh	Joseph		C	GA14	2024	5/13/2024	10060856
	Lenard	Willie James		W	AL02	2024	4/19/2024	7936
	Lerner	Kari		C	FL19	2024	2/26/2024	10056816
	Levinson	Eric		X	NC14	2024	5/17/2024	30021916
	Lewallen	Leslie		C	WA03	2024	5/14/2024	10061214
	Liccardo	Sam T.		C	CA16	2024	5/15/2024	10060033
	Lincoln	Kevin		C	CA09	2024	5/15/2024	10061482
	Lineberger	Ernest Robinson	III	C	TX26	2024	4/27/2024	10059239
	Lipetri	Mike		C	NY03	2024	4/12/2024	10056999
Dr.	Litaker	Robin		C	AL07	2024	5/8/2024	10060176
	Lochner	Jill Andrea		C	NY21	2024	5/12/2024	10060670
	Loesby	Matthew		D	ID01	2024	3/28/2024	40003617
	Logan	George S.		C	CT05	2024	5/15/2024	10061451
	Lopez	Greg		A	CO04	2024	5/20/2024	10061936
	Lopez	Greg		C	CO04	2024	5/12/2024	10060649
	Lopez	Jonathan		C	UT04	2024	3/26/2024	10056933
	Lorenzen	Mark		C	TX17	2024	1/29/2024	10056674
Dr.	Lorinser	Bob James	Jr.	C	MI01	2024	7/1/2024	10062386
	Lou	Bruce C.		C	CA11	2024	5/6/2024	10059810
	Lovelace	Jared Bryant		C	TX10	2024	4/26/2024	10059219
	Lovelace	Jared Bryant		W	TX10	2024	4/26/2024	7949
	Low	Evan		C	CA16	2024	5/14/2024	10060521
	Lyerly	Kristin		X	WI08	2024	5/15/2024	8220384
	Lynch	Mike		C	CO04	2024	5/16/2024	8220322
Hon.	Lynch	Stephen F.		P	MA08	2024	5/9/2024	20025025
Hon.	Lynch	Stephen F.		P	MA08	2024	5/23/2024	20025123
	Lythcott-Haims	Julie		C	CA16	2024	2/3/2024	10056518
	Lythcott-Haims	Julie		X	CA16	2024	2/7/2024	8220130
	MacEwen	Drew C.		C	WA06	2024	5/8/2024	10060244
	MacGuffie	Robert W.		C	CT04	2024	4/29/2024	10058790
	MacIe	Mara Heather		C	FL05	2024	5/20/2024	10061930
Hon.	Mackenzie	Ryan Edward		C	PA07	2024	5/15/2024	10060652
Hon.	Magaziner	Seth		P	RI02	2024	7/2/2024	20025372
	Mahesh	Kamal Al		W	TX24	2024	4/18/2024	7928
Hon.	Malliotakis	Nicole		P	NY11	2024	1/30/2024	8220119
Hon.	Malliotakis	Nicole		P	NY11	2024	6/14/2024	8220508
Mr.	Mandel	Charles Scott		C	TX27	2024	2/3/2024	10056625
Mr.	Mandel	Charles Scott		X	TX27	2024	2/7/2024	8220131
Hon.	Mann	Tracey Robert		P	KS01	2024	4/5/2024	20024810
Hon.	Manning	Kathy		P	NC06	2024	1/12/2024	20024231
Hon.	Manning	Kathy		P	NC06	2024	2/6/2024	20024436
Hon.	Manning	Kathy		P	NC06	2024	3/4/2024	20024604
Hon.	Manning	Kathy		P	NC06	2024	5/3/2024	20024982
Hon.	Manning	Kathy		P	NC06	2024	5/22/2024	20025112
	Mannion	John W.		C	NY22	2024	5/14/2024	10059807
	Mansharamani	Vikram		X	NH02	2024	5/14/2024	30021429
	Manuel	Mel Inari		C	LA01	2024	4/20/2024	10058845
	Marin	Grady		C	OH08	2024	2/23/2024	10056820
Mr.	Markey	Michael Jay		C	MI03	2024	5/15/2024	10059717
	Marlinga	Carl J.		C	MI10	2024	5/7/2024	10060060
	Marshall	Erin		C	KY01	2024	4/22/2024	10056849
Mr.	Marter	James Thomas		C	IL14	2024	5/13/2024	10056991
	Martin	Maria Eugenia		C	VA07	2024	4/9/2024	10056973
Hon.	Mast	Brian		P	FL21	2024	3/26/2024	20024743
	Masters	Blake		C	AZ08	2024	6/29/2024	10061566
	Masters	Blake		X	AZ08	2024	5/17/2024	30021979
Hon.	Matsui	Doris O.		P	CA07	2024	1/26/2024	20024369
Hon.	Matsui	Doris O.		P	CA07	2024	5/23/2024	20025111
Hon.	Matsui	Doris O.		P	CA07	2024	6/4/2024	20025152
	Matveyuk	Sergei		C	CO07	2024	5/14/2024	10060645
	Maycumber	Jacquelin		C	WA05	2024	5/14/2024	10060955
	Mayfield	Darius		C	NJ12	2024	5/5/2024	10059770
	McBride	Sarah Elizabeth		C	DE00	2024	5/14/2024	10061266
	McCaffree	Mike		D	MO04	2024	5/14/2024	40003642
Hon.	McCarthy	Kevin		T	CA20	2024	1/24/2024	10056584
Hon.	McCaul	Michael T.		P	TX10	2024	2/13/2024	8220162
Hon.	McCaul	Michael T.		P	TX10	2024	3/15/2024	8220188
Hon.	McCaul	Michael T.		P	TX10	2024	4/16/2024	8220214
Hon.	McCaul	Michael T.		P	TX10	2024	5/11/2024	8220320
Hon.	McCaul	Michael T.		P	TX10	2024	6/13/2024	8220516
	McCloy	John		C	FL11	2024	5/15/2024	10060520
	McConkey	Josh		X	NC13	2024	5/14/2024	30021440
	McCorkle	Isaac Ian		C	CO04	2024	5/23/2024	10061943
	McCrackin	Curtis M.		C	CO03	2024	5/15/2024	10061633
	McDonald Rivet	Kristen		X	MI08	2024	5/17/2024	30021797
	McDow	Daniel		C	FL08	2024	5/5/2024	10059383
	McDowell	Addison		C	NC06	2024	5/13/2024	10060851
	McDowell	Jan		W	TX32	2024	4/22/2024	7939
Hon.	McGarvey	Morgan		P	KY03	2024	7/3/2024	20025388
Mr.	McGovern	Jay Joseph		C	FL05	2024	5/16/2024	10061883
	McGowan	Angelynn Brooke		A	NC10	2024	1/18/2024	10056627
	McGowan	Angelynn Brooke		C	NC10	2024	1/17/2024	10056621
	McGraw	Joe		C	IL17	2024	5/5/2024	10059782
	McLeod-Skinner	Jamie Eng		C	OR05	2024	5/24/2024	10061976
	McNeal	Justin Shad Mr		C	SD00	2024	4/23/2024	10056637
	McNeal	Justin Shad Mr		X	SD00	2024	1/23/2024	30019576
Mr.	Medina	Ronald Razon		C	TX11	2024	5/15/2024	10061615
	Meeks Milojevich	Janai		C	CA01	2024	2/18/2024	10056796
	Mehta	Leslie		C	VA01	2024	4/9/2024	10056635
	Mehta	Leslie		X	VA01	2024	1/23/2024	30019575
	Melendez	Jose E.		X	PR00	2024	2/9/2024	8220141
	Melius	Shana		C	NJ10	2024	6/4/2024	10062074
	Melvoin	Nick		W	CA30	2024	5/15/2024	7972
	Mendoza	Jesus David		C	AZ03	2024	5/13/2024	10060890
	Mercuri	Robert W.		C	PA17	2024	5/15/2024	10059167
	Merrin	Derek		C	OH09	2024	2/18/2024	10056588
	Merrin	Derek		X	OH09	2024	1/29/2024	30019579
Mr.	Messmer	Mark		C	IN08	2024	4/7/2024	10056838
Hon.	Meuser	Daniel		P	PA09	2024	3/21/2024	20024710
Hon.	Meuser	Daniel		P	PA09	2024	5/13/2024	20025061
Hon.	Miller	Carol Devine		P	WV01	2024	6/5/2024	20025203
Hon.	Miller	Max		P	OH07	2024	1/26/2024	20024380
Hon.	Miller	Max		P	OH07	2024	2/9/2024	20024472
Hon.	Miller	Max		P	OH07	2024	2/16/2024	20024519
Hon.	Miller	Max		P	OH07	2024	3/18/2024	20024705
Hon.	Miller	Max		P	OH07	2024	4/1/2024	20024772
Hon.	Miller	Max		P	OH07	2024	6/24/2024	20025328
Hon.	Miller	Max		P	OH07	2024	6/28/2024	20025345
	Miller	Trent		C	FL16	2024	6/14/2024	10062274
	Milleron	Nadia D.		C	MA01	2024	5/15/2024	10060854
	Min	David		X	CA47	2024	5/17/2024	30021763
	Mink	Austin James		D	IL10	2024	6/26/2024	40003673
	Miskus	Dakotah		C	IN01	2024	7/2/2024	10062391
	Mitchell	Christopher Douglas		C	CO05	2024	5/15/2024	10061757
	Mitchell	Ken		C	VA06	2024	6/18/2024	10062303
	Mohan	Rajesh		C	NJ03	2024	5/3/2024	10056890
	Monhollen	Brandon		C	KY05	2024	2/2/2024	10056701
	Montanez Berrios (Dmb)	Deliris		C	TX16	2024	5/15/2024	10061618
	Montavon	Matthew		C	FL17	2024	5/13/2024	10060734
	Moon	Clifford E.		C	WA07	2024	5/9/2024	10060340
Hon.	Moore	Blake		P	UT01	2024	1/24/2024	20024354
Hon.	Moore	Felix Barry		P	AL02	2024	4/18/2024	20024836
	Moore	Michael B.		X	SC01	2024	4/30/2024	30020913
	Moore	Riley		C	WV02	2024	5/29/2024	10062012
	Moore	Riley		X	WV02	2024	5/15/2024	8220394
	Moore	Tim		C	NC14	2024	5/15/2024	10059443
	Morales	Eduardo		X	OR03	2024	5/8/2024	30021084
	Morales	Jesus Andy		C	CA20	2024	4/18/2024	10057705
	Morgan	Adam		C	SC04	2024	5/22/2024	10061946
	Morrison	Kelly Louise		X	MN03	2024	5/14/2024	8220294
	Morse	Jessica		C	CA03	2024	5/9/2024	10059041
Hon.	Moskowitz	Jared		P	FL23	2024	1/22/2024	20024286
	Moss	Richard		C	IN08	2024	4/7/2024	10056904
	Moss	Richard		X	IN08	2024	2/21/2024	30019611
	Muir	Brendan		C	MI04	2024	6/19/2024	10062311
	Munn	John		C	CA04	2024	5/3/2024	10058981
	Murphy	Michael Anthony		A	PA04	2024	5/27/2024	10061982
	Murphy	Michael Anthony		C	PA04	2024	5/26/2024	10059870
	Nasar	Ahsan		C	VA11	2024	5/13/2024	10060869
	Nembhard	Travis		C	VA10	2024	5/15/2024	10060979
Hon.	Newhouse	Dan		P	WA04	2024	4/25/2024	20024917
	Nez	Jonathan Michael		C	AZ02	2024	5/15/2024	10060105
	Nichelson	Larry		D	CA11	2024	3/8/2024	40003615
	Niemeyer	Randell C.		C	IN01	2024	5/14/2024	10057741
	Nieves	Austin P.		C	OK04	2024	5/13/2024	10060707
Hon.	Norton	Eleanor Holmes		P	DC00	2024	4/15/2024	20024876
Hon.	Norton	Eleanor Holmes		P	DC00	2024	5/13/2024	20025052
Hon.	Norton	Eleanor Holmes		P	DC00	2024	5/13/2024	20025053
Hon.	Norton	Eleanor Holmes		P	DC00	2024	5/21/2024	20025107
	Nouri	Preston		X	PA16	2024	5/14/2024	30021291
	Noveletsky	Hollie T.		X	NH01	2024	4/23/2024	30019821
	Nytes	Aaron		D	WI03	2024	4/18/2024	40003624
	O'Brien	Michael James		W	PA10	2024	4/25/2024	7948
	O'Brien	Michael James		X	PA10	2024	4/23/2024	30019820
	O'Connell	Austin Luther		C	CO03	2024	5/13/2024	10060740
	Oddo	Joseph		D	SC06	2024	5/15/2024	40003649
	O'Donnell	Marty		C	NV03	2024	5/12/2024	10059729
	O'Hara	Tim		C	OH02	2024	2/18/2024	10056590
Dr.	Olszewski	Johnny Anthony	Jr.	C	MD02	2024	4/6/2024	10056884
	Onder	Robert For	Jr.	X	MO03	2024	5/14/2024	30021415
	Orr	Patrick		C	SC03	2024	2/21/2024	10056806
	Orwig	Teresa		C	OR03	2024	4/14/2024	10056977
	Owen	Peter		W	FL13	2024	4/29/2024	7951
	Padora	John J.	Jr.	C	CO04	2024	5/3/2024	10059732
	Pan	David		C	CA46	2024	5/12/2024	10060418
Mr.	Parrott	Neil Conrad		C	MD06	2024	4/19/2024	10058770
Mr.	Pastorius	David A.		D	OH09	2024	2/29/2024	40003611
	Patel	Bhavini		X	PA12	2024	5/17/2024	30022171
Hon.	Paulina Luna	Anna		P	FL13	2024	1/29/2024	8220118
Hon.	Paulina Luna	Anna		P	FL13	2024	5/20/2024	20025103
	Pautsch	David Alfred		C	IA01	2024	5/9/2024	10060412
Hon.	Pelosi	Nancy		P	CA11	2024	2/23/2024	20024542
Hon.	Pelosi	Nancy		P	CA11	2024	3/21/2024	20024625
Hon.	Pelosi	Nancy		P	CA11	2024	7/2/2024	20025368
Dr.	Pennie	Demetrick Tre Dr		C	TX03	2024	4/25/2024	10059181
	Perelman	Jennifer Pilchick		X	FL25	2024	5/1/2024	8220244
	Perras	Brian		C	FL15	2024	4/12/2024	10057000
	Peters	John		C	FL14	2024	4/19/2024	10058839
Hon.	Peters	Scott H.		P	CA50	2024	1/22/2024	20024316
Hon.	Peters	Scott H.		P	CA50	2024	2/15/2024	20024477
Hon.	Peters	Scott H.		P	CA50	2024	3/11/2024	20024662
Hon.	Peters	Scott H.		P	CA50	2024	4/17/2024	20024837
Hon.	Peters	Scott H.		P	CA50	2024	5/13/2024	20025037
Hon.	Peters	Scott H.		P	CA50	2024	6/25/2024	20025285
	Peterson	Timothy L.		C	MN05	2024	5/13/2024	10059946
Mr.	Pfenninger	Ryan Seth		C	IN05	2024	4/5/2024	8220199
	Phelen	Christopher David		W	CO04	2024	5/28/2024	7982
	Phelen	Christopher David		X	CO04	2024	5/17/2024	30022153
Hon.	Phillips	Dean		B	MN03	2024	1/30/2024	8220117
Hon.	Phillips	Dean		B	MN03	2024	4/26/2024	8220232
Hon.	Phillips	Dean		P	MN03	2024	6/20/2024	20025240
	Pickard	Ronald		C	VI00	2024	6/17/2024	10062075
Hon.	Pingree	Chellie		P	ME01	2024	2/6/2024	20024446
Hon.	Pingree	Chellie		P	ME01	2024	4/10/2024	20024846
Hon.	Pingree	Chellie		P	ME01	2024	5/8/2024	20025006
Hon.	Pingree	Chellie		P	ME01	2024	7/2/2024	20025371
Hon.	Pocan	Mark		P	WI02	2024	3/28/2024	20024758
Mr.	Pombo	Tony J		C	OH10	2024	3/19/2024	10056875
Mr.	Pons	Michael Louis		C	GA11	2024	5/13/2024	10060753
	Portantino	Anthony		C	CA30	2024	5/5/2024	10059797
	Powell	Rhonda M.		C	MI10	2024	5/15/2024	10061624
	Prabhudoss	John		C	VA07	2024	1/25/2024	10056641
	Prescott	Russell		C	NH01	2024	5/15/2024	10061370
	Propst	Edwin Kenneth		C	MP01	2024	6/11/2024	10061007
	Propst	Edwin Kenneth		X	MP01	2024	5/17/2024	30021678
	Pruett	Dasha		C	PA05	2024	2/22/2024	10056666
	Pugh	Pamela L.		C	MI08	2024	5/15/2024	10060667
	Qarni	Atif		C	VA10	2024	4/29/2024	10059286
	Quinones	John		C	FL09	2024	5/15/2024	10061542
	Raatz	Jeff		C	IN06	2024	4/5/2024	10056929
	Rahm	Tayler		C	MN02	2024	6/14/2024	10062265
	Rahm	Tayler		X	MN02	2024	5/15/2024	8220399
Mrs.	Ramirez Morales	Viviana		D	PR00	2024	4/11/2024	40003621
	Randall	Emily		C	WA06	2024	5/17/2024	10061902
	Ratevosian	Jirair		W	CA30	2024	4/24/2024	7945
	Reagan	Joseph F.		C	CO05	2024	5/15/2024	10061629
	Recile	Rudy		C	CA08	2024	6/11/2024	10060163
	Recile	Rudy		X	CA08	2024	5/14/2024	30021301
Dr.	Reddy	Venkataprasanth		X	KS03	2024	5/8/2024	30021007
	Reeves	Jay		C	MN06	2024	3/2/2024	10056851
	Rehberg	Denny		C	MT02	2024	5/6/2024	10056925
	Rice	Mark		C	IL08	2024	5/13/2024	10057722
	Richmond	Quinn Lamar		C	CA37	2024	2/23/2024	10056819
	Riley	Cheryl		C	MD08	2024	4/13/2024	10057007
	Riley	Josh		X	NY19	2024	5/14/2024	30021282
	Riley	Paul		C	VA05	2024	5/14/2024	10061114
	Rivas	Luz		C	CA29	2024	6/13/2024	10061170
	Rivas	Luz		X	CA29	2024	5/17/2024	30021760
	Robertson	Mark		C	NV01	2024	5/13/2024	10060816
	Robinson	Roger David	Jr.	C	SC02	2024	5/31/2024	10062064
	Rochford	Robert Anthony		X	FL14	2024	5/17/2024	30021937
	Rochford	Robert Anthony		X	FL14	2024	6/18/2024	30022323
	Rodriguez	Antonio		C	TX05	2024	5/13/2024	10060710
	Rogers	Evelyn L (Louise)		C	OK01	2024	4/15/2024	10057421
	Rogers	Evelyn L (Louise)		C	OK01	2024	4/22/2024	8220238
	Rogers	Evelyn L (Louise)		D	OK01	2024	4/22/2024	8220235
Hon.	Rogers	Harold Dallas		P	KY05	2024	2/20/2024	8220155
Hon.	Rogers	Harold Dallas		P	KY05	2024	3/13/2024	8220176
Hon.	Rogers	Harold Dallas		P	KY05	2024	4/10/2024	8220203
Hon.	Rogers	Harold Dallas		P	KY05	2024	5/9/2024	8220271
Hon.	Rogers	Harold Dallas		P	KY05	2024	6/26/2024	8220529
	Rollins	Will		C	CA41	2024	5/28/2024	10060090
